Domain;Subdomain;Skill
"Independent Living Skills	Personal Management Objectives	Learner will identify own fears anxieties and take appropriate measures to remain calm when dealing with such situations.";;
"Independent Living Skills	Personal Management Objectives	Learner will address concerns regarding the actions of others.";;
"Independent Living Skills	Personal Management Objectives	When confident with own information, learner will verbally maintain position when engaged in interactions in which position is being challenged.";;
"Independent Living Skills	Personal Management Objectives	When needing to present one's opinion or perspective, learner will physically interact with others in a manner that indicates confidence.";;
"Independent Living Skills	Personal Management Objectives	Learner will identify and take appropriate actions to prevent others from taking advantage of the learner.";;
"Independent Living Skills	Personal Management Objectives	Learner will identify and refrain form responding to emails that contain suspicious requests for learner to provide information and refrain from opening attachments or clicking on embedded links that have not been confirmed to be safe.";;
"Independent Living Skills	Personal Management Objectives	When interacting with others, learner will identify when providing further statements about an issue are no longer useful.";;
"Independent Living Skills	Personal Management Objectives	Learner will demonstrate reasonable flexibility with stated rules.";;
"Independent Living Skills	Personal Management Objectives	Learner will identify who can be asked for advice about personal and interpersonal issues, work related issues, and who to ask for specific information in multiple settings (e.g., airport, shopping mall, work).";;
"Independent Living Skills	Personal Management Objectives	Learner will respect the rights of others.";;
"Independent Living Skills	Personal Management Objectives	Learner will appropriately remind others of their commitments.";;
"Independent Living Skills	Personal Management Objectives	Learner will respond appropriately to figurative comments made by others.";;
"Independent Living Skills	Personal Management Objectives	When learner does not understand what is being said, will ask others to clarify what they are trying to say.";;
"Independent Living Skills	Personal Management Objectives	Learner will remain calm when minor issues arise.";;
"Independent Living Skills	Personal Management Objectives	When responding to situations involving the undesired actions of others, learner will consider the possible good intentions of others.";;
"Independent Living Skills	Personal Management Objectives	Learner will state the potential reactions of others based on the learner's actions.";;
"Independent Living Skills	Personal Management Objectives	Learner will respond in a calm manner when provided with suggestions or corrective feedback.";;
"Independent Living Skills	Personal Management Objectives	Learner will offer suggestions in a tactful manner.";;
"Independent Living Skills	Personal Management Objectives	Learner will accept sincere apologies from others.";;
"Independent Living Skills	Personal Management Objectives	Learner will readily forgive others for forgetting to do something or for actions that unintentionally caused minor problems.";;
"Independent Living Skills	Personal Management Objectives	Learner will accept negotiated agreements that do not entirely meet the learner's desired outcomes.";;
"Independent Living Skills	Personal Management Objectives	Learner will walk away or physically remove self from an individual who is being inappropriately confrontative and may pose a physical threat.";;
"Independent Living Skills	Personal Management Objectives	Learner will respond appropriately when approached or stopped by police, store security, or other authority figure.";;
"Independent Living Skills	Safety	ST1. Treats minor illnesses and injuries";;
"Independent Living Skills	Safety	ST2. Stops bleeding of minor cuts";;
"Independent Living Skills	Safety	ST3. Seeks medical assistance";;
"Independent Living Skills	Safety	ST4. Maintains emergency supplies";;
"Independent Living Skills	Safety	ST5. Shows caution with sharp objects";;
"Independent Living Skills	Safety	ST6. Handles poisonous or dangerous household materials";;
"Independent Living Skills	Safety	ST7. Avoids danger related to vehicles or moving equipment";;
"Independent Living Skills	Safety	ST8. Keeps door locked";;
"Independent Living Skills	Safety	ST9. Adjusts drapes or window blinds";;
"Independent Living Skills	Safety	ST10. Checks prior to opening door";;
"Independent Living Skills	Safety	ST11. Keeps flammable materials away from flames and high heat";;
"Independent Living Skills	Safety	ST12. Unplugs heat-producing appliances";;
"Independent Living Skills	Safety	ST13. Keeps electrical appliances away from water";;
"Independent Living Skills	Safety	ST14. Malfunctioning electrical devices";;
"Independent Living Skills	Safety	ST15. Avoids overloading electrical circuits";;
"Independent Living Skills	Safety	ST16. Avoids flames and hot electrical coils while cooking";;
"Independent Living Skills	Safety	ST17. Identifies when stovetop and appliances are hot";;
"Independent Living Skills	Safety	ST18. Moves hot pots and pans safely";;
"Independent Living Skills	Safety	ST19. Prevents grease fires";;
"Independent Living Skills	Safety	ST20. Knows actions to take if clothes catch on fire while cooking";;
"Independent Living Skills	Safety	ST21. Demonstrates stove fire safety";;
"Independent Living Skills	Safety	ST22. States how to exit in case of fire";;
"Independent Living Skills	Safety	ST23. Safety vigilance";;
"Independent Living Skills	Safety	ST24. Identifies unsafe situations";;
"Independent Living Skills	Safety	ST25. Identifies people to ignore or respond to in community settings";;
"Independent Living Skills	Safety	ST26. Provides personal identification";;
"Independent Living Skills	Safety	ST27. Maintains emergency contact information";;
"Independent Living Skills	Safety	ST28. Identifies who to call to seek help";;
"Independent Living Skills	Safety	ST29. Describes problem when asking for help";;
"Independent Living Skills	Safety	ST30. Uses phone to contact caregivers or other source of help";;
"Independent Living Skills	Safety	ST31. Makes adjustments when major change in situation";;
"Independent Living Skills	Safety	ST32. Safeguards sensitive information";;
"Independent Living Skills	Safety	ST33. Safeguards personal information online";;
"Independent Living Skills	Safety	ST34. Notifies others when meeting new people from online contact";;
"Independent Living Skills	Safety Objectives	Learner will maintain over-the counter medicines for common illnesses and first-aid supplies in a specific location, and treat minor illnesses and injuries using appropriate over-the counter medicines and first-aid supplies.";;
"Independent Living Skills	Safety Objectives	Learner will apply pressure to stop bleeding.";;
"Independent Living Skills	Safety Objectives	Learner will seek medical assistance for serious illnesses and injuries.";;
"Independent Living Skills	Safety Objectives	Learner will maintain adequate supplies that may be required in a natural emergency.";;
"Independent Living Skills	Safety Objectives	Learner will identify common household objects that could result in a person being cut and describe precautions that must be taken to safely handle them.";;
"Independent Living Skills	Safety Objectives	Learner will identify at least 6 poisonous or dangerous household products and describe precautions that must be taken to safely handle them.";;
"Independent Living Skills	Safety Objectives	Learner will monitor immediate area for vehicles and moving equipment.";;
"Independent Living Skills	Safety Objectives	Learner will keep doors to residence locked both when inside and when leaving the residence.";;
"Independent Living Skills	Safety Objectives	Learner will carefully and consistently adjusts blinds, shades or drapes to ensure privacy.";;
"Independent Living Skills	Safety Objectives	Learner will check to see who is at door, and only open for people that are known by learner, and for others who are judged to be safe.";;
"Independent Living Skills	Safety Objectives	Learner will identify items that are combustible and ensure that they are kept away form open flames and other sources of high heat.";;
"Independent Living Skills	Safety Objectives	Learner will unplug heat-producing appliances when not in use.";;
"Independent Living Skills	Safety Objectives	Learner will keep electrical items away from water.";;
"Independent Living Skills	Safety Objectives	Learner will turn off and unplug electrical devices that are overheating, sparking or giving off smells associated with overheating.";;
"Independent Living Skills	Safety Objectives	Learner will state the importance of not overloading electrical circuits so as to avoid electrical fires.";;
"Independent Living Skills	Safety Objectives	While cooking, learner will be aware of flames and hot electrical coils and will take all appropriate steps to prevent being burned and having clothing or other burnable items catch on fire.";;
"Independent Living Skills	Safety Objectives	Learner will safely determine if a stovetop or appliance is hot and will avoid touching or placing items that could burn or melt on a hot stove or appliance.";;
"Independent Living Skills	Safety Objectives	Learner will safely move hot pot and pans containing food, and safely pour hot water out of a pot to drain food items such as to avoid being burned.";;
"Independent Living Skills	Safety Objectives	Learner will monitor the temperature of heated oil to prevent it from catching on fire.";;
"Independent Living Skills	Safety Objectives	Learner will identify and demonstrate appropriate steps that need to be taken if caught on fire while cooking.";;
"Independent Living Skills	Safety Objectives	Learner will describe and demonstrate the steps that would be necessary to take if a fire should occur while cooking.";;
"Independent Living Skills	Safety Objectives	Learner will alert others and exit building when there is a fire or a fire alarm/smoke detector is heard.";;
"Independent Living Skills	Safety Objectives	Learner will scan surroundings prior to leaving an area of safety and while traveling to another secure area.";;
"Independent Living Skills	Safety Objectives	Learner will identify situations when in the community that may not be safe, and avoids putting self in jeopardy.";;
"Independent Living Skills	Safety Objectives	Learner will identify who is appropriate to interact with in a wide variety of community settings.";;
"Independent Living Skills	Safety Objectives	Learner will only provide personal information to appropriate people.";;
"Independent Living Skills	Safety Objectives	Learner will maintain a contact list, and state or produce at least 2 emergency contact phone numbers of individuals who can be reached when having problems in public.";;
"Independent Living Skills	Safety Objectives	Learner will identify who should be called for assistance in at least 5 types of dangerous or emergency situations.";;
"Independent Living Skills	Safety Objectives	Learner will approach a person and describe the details of a problem for which learner requires assistance.";;
"Independent Living Skills	Safety Objectives	Learner will operate a phone to call caregiver or other appropriate source of help.";;
"Independent Living Skills	Safety Objectives	Learner will attend to major changes in a situation and adjust behavior accordingly.";;
"Independent Living Skills	Safety Objectives	Learner will state the types of information that should not be revealed except when confirming learner's identity with a trusted source.";;
"Independent Living Skills	Safety Objectives	Learner will not share personal information with unknown individuals on the internet.";;
"Independent Living Skills	Safety Objectives	Learner will arrange initial meetings with others that will occur in a public location and will notify friends or family members of the specific time place and information about the person that learner is arranging to meet.";;
"Independent Living Skills	Problem Solving	PS1. Identifies problems that require immediate action";;
"Independent Living Skills	Problem Solving	PS2. Uses search strategy for missing items";;
"Independent Living Skills	Problem Solving	PS3. Searches for information on internet";;
"Independent Living Skills	Problem Solving	PS4. Makes minor repairs";;
"Independent Living Skills	Problem Solving	PS5. Asks neighbors for assistance";;
"Independent Living Skills	Problem Solving	PS6. States who to call for help";;
"Independent Living Skills	Problem Solving	PS7. Solves climate control problems";;
"Independent Living Skills	Problem Solving	PS8. Substitutes other items";;
"Independent Living Skills	Problem Solving	PS9. Resets electronic devices";;
"Independent Living Skills	Problem Solving	PS10. Solves water problems";;
"Independent Living Skills	Problem Solving	PS11. Solves smoke problems";;
"Independent Living Skills	Problem Solving	PS12. Attempts electricity trouble-shooting";;
"Independent Living Skills	Problem Solving	PS13. Solves computer printer problems";;
"Independent Living Skills	Problem Solving	PS14. Travel related problems";;
"Independent Living Skills	Problem Solving	PS15. Searches spam filter folder";;
"Independent Living Skills	Problem Solving	PS16. Tracks deliveries";;
"Independent Living Skills	Problem Solving	PS17. Returns incorrect or damaged items";;
"Independent Living Skills	Problem Solving	PS18. Unauthorized purchases on banking statement";;
"Independent Living Skills	Problem Solving	PS19. Deals with lost wallet or credit cards";;
"Independent Living Skills	Problem Solving Objectives	Learner will identify and respond appropriately when a situation requires immediate action.";;
"Independent Living Skills	Problem Solving Objectives	Learner will implement a systematic search strategy for missing items.";;
"Independent Living Skills	Problem Solving Objectives	Learner will use internet search engines to obtain solutions to problems.";;
"Independent Living Skills	Problem Solving Objectives	Learner will repair at least 4 items and describe how to make minor repairs to at least 6 other items.";;
"Independent Living Skills	Problem Solving Objectives	Learner will state at least 10 items or requests that would be reasonable to ask to either borrow or get assistance from a neighbor.";;
"Independent Living Skills	Problem Solving Objectives	Learner will state individuals, professionals or companies to call to get assistance with at least 10 specific types of problems.";;
"Independent Living Skills	Problem Solving Objectives	Learner will make necessary adjustments when heating and air conditioning systems fail.";;
"Independent Living Skills	Problem Solving Objectives	Learner will state at least 6 items that can be used as a substitute or replacement for items needed to complete a task.";;
"Independent Living Skills	Problem Solving Objectives	Learner will attempt to solve a problem with a malfunctioning electronic device by turning off and then restarting the device.";;
"Independent Living Skills	Problem Solving Objectives	Learner will stop flowing water and clean up water that has overflowed sinks, bathtubs, or toilets.";;
"Independent Living Skills	Problem Solving Objectives	After assuring that there is no immediate danger from fire, learner will eliminate source of smoke, and deactivate a smoke detector alarm by venting the residence and waving smoke away from the smoke detector (if necessary).";;
"Independent Living Skills	Problem Solving Objectives	Learner will determine the cause of electricity not being supplied to an electronic device.";;
"Independent Living Skills	Problem Solving Objectives	Learner will troubleshoot computer printer problems.";;
"Independent Living Skills	Problem Solving Objectives	Learner will resolve problems encountered while walking, traveling on buses, local trains, and airlines.";;
"Independent Living Skills	Problem Solving Objectives	Learner will check spam folder to search for missing emails that had been sent to learner.";;
"Independent Living Skills	Problem Solving Objectives	Learner will track the location of expected packages.";;
"Independent Living Skills	Problem Solving Objectives	Learner will return undesired or defective products to store with all packaging materials and receipt for exchange or refund.";;
"Independent Living Skills	Problem Solving Objectives	Learner will consistently review banking and credit card statements for accuracy and call customer service to report or inquire about inaccurate line items.";;
"Independent Living Skills	Problem Solving Objectives	Learner will immediately report and replace stolen or lost credit cards, check, and personal identification documents (e.g., driver's license, passport) at banks and governmental agencies.";;
"Independent Living Skills	Social Interactions	SI1. Shakes hands";;
"Independent Living Skills	Social Interactions	SI2. Introduces self";;
"Independent Living Skills	Social Interactions	SI3. Introduces friends and family to others";;
"Independent Living Skills	Social Interactions	SI4. Says Thank you";;
"Independent Living Skills	Social Interactions	SI5. Excuses self to use restroom or take a phone call";;
"Independent Living Skills	Social Interactions	SI6. Accepts compliments";;
"Independent Living Skills	Social Interactions	SI7. Gives compliments";;
"Independent Living Skills	Social Interactions	SI8. Maintains secrets";;
"Independent Living Skills	Social Interactions	SI9. Avoids questions does not want to answer";;
"Independent Living Skills	Social Interactions	SI10. Participates with others in shared interest activities";;
"Independent Living Skills	Social Interactions	SI11. Participates in social gatherings or events";;
"Independent Living Skills	Social Interactions	SI12. Group affiliation";;
"Independent Living Skills	Social Interactions	SI13. Family and cultural traditions and events";;
"Independent Living Skills	Social Interactions	SI14. Gives holiday gifts";;
"Independent Living Skills	Social Interactions	SI15. Thank you notes";;
"Independent Living Skills	Social Interactions	SI16. Identifies who would be interested in a topic";;
"Independent Living Skills	Social Interactions	SI17. Allows others to talk uninterrupted";;
"Independent Living Skills	Social Interactions	SI18. Active listening";;
"Independent Living Skills	Social Interactions	SI19. Changes topics appropriately";;
"Independent Living Skills	Social Interactions	SI20. Identifies interest and boredom with topic";;
"Independent Living Skills	Social Interactions	SI21. Politely ends conversations";;
"Independent Living Skills	Social Interactions	SI22. Tolerates brief absences of conversation";;
"Independent Living Skills	Social Interactions	SI23. Refrains from criticizing others";;
"Independent Living Skills	Social Interactions	SI24. Refrains from bragging";;
"Independent Living Skills	Social Interactions	SI25. Occupies self when others are not present";;
"Independent Living Skills	Social Interactions	SI26. Avoids others who make fun of learner or are unfriendly";;
"Independent Living Skills	Social Interactions	SI27. Describes situations encountered";;
"Independent Living Skills	Social Interactions	SI28. Avoids people acting unusually";;
"Independent Living Skills	Social Interactions	SI29. Robbery safety";;
"Independent Living Skills	Social Interactions Objectives	Learner will offer and accept handshakes from others for an appropriate duration and using an appropriate grip.";;
"Independent Living Skills	Social Interactions Objectives	Learner will approach and introduce self to new people when joining a group or activity.";;
"Independent Living Skills	Social Interactions Objectives	Learner will introduce friends, family members, and acquaintances to others.";;
"Independent Living Skills	Social Interactions Objectives	Learner will say Thank you when given an item and to acknowledge help provided by others.";;
"Independent Living Skills	Social Interactions Objectives	Learner will excuse self prior to leaving a social gathering to use the restroom or make or take a personal phone call.";;
"Independent Living Skills	Social Interactions Objectives	Learner will verbally respond in a socially acceptable manner to acknowledge compliments given to learner.";;
"Independent Living Skills	Social Interactions Objectives	Learner will give compliments or make positive statements to others.";;
"Independent Living Skills	Social Interactions Objectives	Learner will keep confidential information to self unless there is an appropriate reason to breach that confidentiality.";;
"Independent Living Skills	Social Interactions Objectives	Learner will redirect conversation to avoid answering certain questions.";;
"Independent Living Skills	Social Interactions Objectives	Learner will engage in a variety of activities with others who share an interest in activities.";;
"Independent Living Skills	Social Interactions Objectives	Learner will demonstrate appropriate social interactions during social gatherings.";;
"Independent Living Skills	Social Interactions Objectives	Learner will engage in activities with at least 3 different social groups.";;
"Independent Living Skills	Social Interactions Objectives	Learner will participate in family or cultural traditions and events.";;
"Independent Living Skills	Social Interactions Objectives	Learner will make or obtain and present gifts to close friends and family on special occasions.";;
"Independent Living Skills	Social Interactions Objectives	Learner will send thank you notes when given gifts or following participation in special events.";;
"Independent Living Skills	Social Interactions Objectives	Learner will state people who would be interested in hearing about particular types of information.";;
"Independent Living Skills	Social Interactions Objectives	Learner will consistently wait for others to complete their statements before attempting to add to the conversation.";;
"Independent Living Skills	Social Interactions Objectives	Learner will display gestures and other behavior to demonstrate active listening to what others are saying.";;
"Independent Living Skills	Social Interactions Objectives	Learner will appropriately transition to new topics during a conversation.";;
"Independent Living Skills	Social Interactions Objectives	Learner will identify when individuals in a conversation are interested or bored with the topic.";;
"Independent Living Skills	Social Interactions Objectives	Learner will identify from a speaker's comments or tone of voice that they are ready to end and then politely end a conversation.";;
"Independent Living Skills	Social Interactions Objectives	Learner will tolerate brief absences of conversation and be silent during those times.";;
"Independent Living Skills	Social Interactions Objectives	Learner will refrain from criticizing or talking negatively about others.";;
"Independent Living Skills	Social Interactions Objectives	Learner will describe own accomplishments in a humble or respectful manner such that others would not describe as being bragging or boastful.";;
"Independent Living Skills	Social Interactions Objectives	Learner will occupy self when others are not present.";;
"Independent Living Skills	Social Interactions Objectives	Learner avoids people who are who are mean or treat learner in an inappropriate manner (e.g., bullying, making fun of learner, hurtful teasing), and will seek assistance as needed to remedy those situations.";;
"Independent Living Skills	Social Interactions Objectives	Learner will describe details, time, and event sequence for situations that occurred in the community.";;
"Independent Living Skills	Social Interactions Objectives	Learner will avoid people acting in an unusual way.";;
"Independent Living Skills	Social Interactions Objectives	Learner will state appropriate actions to take if involved in a robbery.";;
"Independent Living Skills	Living with Others	LO1. Cleans up after self";;
"Independent Living Skills	Living with Others	LO2. Shares cleaning tasks";;
"Independent Living Skills	Living with Others	LO3. Keeps common areas orderly";;
"Independent Living Skills	Living with Others	LO4. Respects privacy of roommates";;
"Independent Living Skills	Living with Others	LO5. Negotiates house rules";;
"Independent Living Skills	Living with Others	LO6. Follows house rules";;
"Independent Living Skills	Living with Others	LO7. Accepts small variations in roommates methods and standards";;
"Independent Living Skills	Living with Others	LO8. Use of community supplies";;
"Independent Living Skills	Living with Others	LO9. Keeps personal possessions secure";;
"Independent Living Skills	Living with Others	LO10. Knocks before entering bathroom";;
"Independent Living Skills	Living with Others	LO11. Wears clothing when in shared or common areas of residence";;
"Independent Living Skills	Living with Others	LO12. Keeps noise to reasonable levels";;
"Independent Living Skills	Living with Others	LO13. Remains flexible with regard to leisure activities to be done with roommates";;
"Independent Living Skills	Living with Others	LO14. Leaves light on for self when returning after dark";;
"Independent Living Skills	Living with Others	LO15. Seeks approval for having guests";;
"Independent Living Skills	Living with Others	LO16. Welcomes guests";;
"Independent Living Skills	Living with Others	LO17. Tells guests to leave";;
"Independent Living Skills	Living with Others	LO18. Controls guests' behavior";;
"Independent Living Skills	Living with Others Objectives	Learner will consistently clean any public areas in residence after completing an activity.";;
"Independent Living Skills	Living with Others Objectives	Learner will negotiate shared household maintenance tasks with roommates and perform assigned tasks.";;
"Independent Living Skills	Living with Others Objectives	Learner will ensure that the public areas in a shared residence remain neat and orderly regardless of whether any of the disorder or mess left by others.";;
"Independent Living Skills	Living with Others Objectives	Learner will respect the privacy of roommates by leaving the immediate area to avoid hearing private conversations, staying out of their room, and not using their possessions unless given permission to do so.";;
"Independent Living Skills	Living with Others Objectives	Learner will work with roommates to establish household rules and will follow agreed upon rules.";;
"Independent Living Skills	Living with Others Objectives	Learner will follow established household rules.";;
"Independent Living Skills	Living with Others Objectives	Learner will accept small variations in the housekeeping methods and standards exhibited by roommates.";;
"Independent Living Skills	Living with Others Objectives	Learner will resolve issues regarding the amount of shared supplies being used by roommates.";;
"Independent Living Skills	Living with Others Objectives	Learner will keep personal possessions that are not to be shared in their private area (e.g., bedroom) or closed drawer such as to not allow easy access by others.";;
"Independent Living Skills	Living with Others Objectives	Learner will consistently knock to ensure a bathroom is vacant prior to entering.";;
"Independent Living Skills	Living with Others Objectives	Learner will always wear clothes when others are in the residence, or may be returning to the residence.";;
"Independent Living Skills	Living with Others Objectives	Learner will keep music and activities to a reasonable level of volume to maintain a comfortable level for all roommates.";;
"Independent Living Skills	Living with Others Objectives	Learner will be flexible when planning and doing activities with roommate.";;
"Independent Living Skills	Living with Others Objectives	When leaving at late afternoon or early evening, learner will leave an outside light on when knows will be returning to residence after dark.";;
"Independent Living Skills	Living with Others Objectives	Learner will confer with roommates before extending invitations for others to stay in residence.";;
"Independent Living Skills	Living with Others Objectives	Learner will make appropriate offers to make guests feel comfortable and welcome when others visit learner's residence.";;
"Independent Living Skills	Living with Others Objectives	Learner will make appropriate statements and take actions to have them leave the learner's residence.";;
"Independent Living Skills	Living with Others Objectives	Learner will make appropriate statements and take actions to have guests comply with the learner's preferences and house rules.";;
"Independent Living Skills	Interpersonal Relationships	IR1. Invites friends to join an activity";;
"Independent Living Skills	Interpersonal Relationships	IR2. Hangs out with friends";;
"Independent Living Skills	Interpersonal Relationships	IR3. Responds appropriately when attracted to others";;
"Independent Living Skills	Interpersonal Relationships	IR4. Responds appropriately when others are attracted to learner";;
"Independent Living Skills	Interpersonal Relationships	IR5. States difference between casual friendship vs. romantic relationship";;
"Independent Living Skills	Interpersonal Relationships	IR6. Describes the concepts of going steady, engaged, married, etc.";;
"Independent Living Skills	Interpersonal Relationships	IR7. States what is expected if one enters into a romantic relationship";;
"Independent Living Skills	Interpersonal Relationships	IR8. Deals with start and end of friendships";;
"Independent Living Skills	Interpersonal Relationships	IR9. Identifies when others are inappropriate or taking advantage";;
"Independent Living Skills	Interpersonal Relationships	IR10. States what is sexual behavior";;
"Independent Living Skills	Interpersonal Relationships	IR11. States when, where, and with whom it is ok to physically interact in a sexual manner";;
"Independent Living Skills	Interpersonal Relationships	IR12. Identifies when others are making sexual advances";;
"Independent Living Skills	Interpersonal Relationships	IR13. States examples of friendly vs. sexual touching";;
"Independent Living Skills	Interpersonal Relationships	IR14. Touching during medical examination";;
"Independent Living Skills	Interpersonal Relationships	IR15. Discrete when discussing sexual activity and topics";;
"Independent Living Skills	Interpersonal Relationships	IR16. States potential social outcomes of sexual behavior";;
"Independent Living Skills	Interpersonal Relationships	IR17. States medical conditions that can occur from sex";;
"Independent Living Skills	Interpersonal Relationships	IR18. Deals with others who want to take sexual risks";;
"Independent Living Skills	Interpersonal Relationships	IR19. States problems associated with having multiple sex partners";;
"Independent Living Skills	Interpersonal Relationships	IR20. Describes the reproductive cycle and pregnancy";;
"Independent Living Skills	Interpersonal Relationships	IR21. States methods to prevent pregnancy";;
"Independent Living Skills	Interpersonal Relationships	IR22. Describes birth control methods";;
"Independent Living Skills	Interpersonal Relationships	IR23. Signs of pregnancy";;
"Independent Living Skills	Interpersonal Relationships	IR24. Sending or posting content online";;
"Independent Living Skills	Interpersonal Relationships	IR25. Avoids online predators";;
"Independent Living Skills	Interpersonal Relationships	IR26. Screens others prior to meeting them";;
"Independent Living Skills	Interpersonal Relationships	IR27. Notifies others when meeting new people from online contact";;
"Independent Living Skills	Interpersonal Relationships	IR28. Knows when, where, and with whom it is ok to physically interact in a sexual manner";;
"Independent Living Skills	Interpersonal Relationships	IR29. States how dress and actions can be interpreted as sexual availability";;
"Independent Living Skills	Interpersonal Relationships	IR30. Reports inappropriate touching";;
"Independent Living Skills	Interpersonal Relationships	IR31. States how to stop unwanted sexual advances";;
"Independent Living Skills	Interpersonal Relationships	IR32. Deals with others who want to take sexual risks";;
"Independent Living Skills	Interpersonal Relationships	IR33. Stops sexual aggressor";;
"Independent Living Skills	Interpersonal Relationships	IR34. States need to report sexual assault";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will invite friends to join activities.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will regularly interact and hang out with a group of friends.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will respond appropriately when attracted to or having a crush on a peer.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will respond appropriately when others are attracted to the learner.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will state the differences between a friendship and a romantic relationship.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will describe what is meant by the terms going steady, engaged, and married and describe behaviors that are expected within those relationships.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will state expectations associated with a romantic relationship.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will emotionally adjust to changes associated with changes or ending of relationships.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will take action to stop others who are inappropriate with or taking advantage of learner.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will state behaviors that are considered to be sexual.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will identify when, where, and with whom sexual behavior would be appropriate.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will identify when the approaches and actions by others are attempts to engage learner in sexual behavior.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will state examples of friendly and sexual touching.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will state when it is acceptable for medical personnel touch learner's body.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will use discretion with regard to with whom and when it is appropriate to discuss sexual issues.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will state at least 3 potential outcomes from engaging in sexual activities.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will state medical conditions that can arise from engaging in sexual activity.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will prevent others from making them engage in unsafe sexual practices.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will describe social and physical problems that are often associated with having multiple sexual partners.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will describe how pregnancy occurs, how pregnancy can be avoided, and how a determination of pregnancy is made.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will describe methods to avoid pregnancy.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will educate self regarding prevention of pregnancy and decide on and adopt a method of birth control.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will describe and identify signs of possible pregnancy and need to obtain a test to determine status.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will refrain from posting revealing pictures of self and personal information that may lead to people being able to take advantage of them.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will discriminate and refrain from engaging in online interactions that may result in inappropriate interactions with others.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will obtain sufficient information about a person met online prior to arranging to meet that individual in person and arranges to meet in a public place or in presence of friends.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will notify others of pertinent information prior to meeting with people who were met online.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will identify when, where and with whom sexual behavior would be appropriate.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will state how certain actions in combination with certain types of clothing can be interpreted as being interested in engaging in sexual behavior.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will state who to tell about instances of inappropriate touching.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will state actions to take in order to stop others from making unwanted sexual advances.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will prevent others from making them engage in unsafe sexual practices.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will describe steps that can be taken to minimize, prevent, or stop sexual assault.";;
"Independent Living Skills	Interpersonal Relationships Objectives	Learner will describe how and what would need to be reported in the event of sexual assault.";;
"Home Skills	Meals At Home	MH1. Identifies foods eaten with utensils";;
"Home Skills	Meals At Home	MH2. Uses spoon for solids";;
"Home Skills	Meals At Home	MH3. Uses spoon for liquids";;
"Home Skills	Meals At Home	MH4. Uses fork";;
"Home Skills	Meals At Home	MH5. Cuts with fork";;
"Home Skills	Meals At Home	MH6. Uses knife and fork together";;
"Home Skills	Meals At Home	MH7. Drinks from straw";;
"Home Skills	Meals At Home	MH8. Drinks from open faced cup";;
"Home Skills	Meals At Home	MH9. Places cup/glass in a safe location on table";;
"Home Skills	Meals At Home	MH10. Carries plate with food and/or filled glass to table without spilling";;
"Home Skills	Meals At Home	MH11. Self-serves solid foods from larger dish";;
"Home Skills	Meals At Home	MH12. Serves self liquid foods";;
"Home Skills	Meals At Home	MH13. Takes appropriate size servings";;
"Home Skills	Meals At Home	MH14. Places dirty utensils on plate";;
"Home Skills	Meals At Home	MH15. Uses napkin";;
"Home Skills	Meals At Home	MH16. Sits at table for meal";;
"Home Skills	Meals At Home	MH17. Takes appropriate size bites of food";;
"Home Skills	Meals At Home	MH18. Eats at an appropriate pace";;
"Home Skills	Meals At Home	MH19. Chews with mouth closed";;
"Home Skills	Meals At Home	MH20. Passes food items on request";;
"Home Skills	Meals At Home	MH21. Excuses self prior to reaching in front of others for food";;
"Home Skills	Meals At Home	MH22. Asks for food to be passed";;
"Home Skills	Meals At Home	MH23. Uses appropriate conversation and noises during meals";;
